SYMBOL,UNDERLYING ASSET,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHNG,%CHNG,VOLUME,"VALUE 
 (₹ Crores)",NAV,52W H,52W L,30D  %CHNG,365 D,365 D % CHNG,30 D,Volume,Price
TNIDETF,Nifty India Digital,99.59,99.59,98.73,99.04,99.20,-,0.16,0.16,"1,52,462",1.51,99.31,101.75,68.93,6.35,04-Dec-2023,40.06,01-Nov-2024,152462.0,99.2
ITBEES,Nifty It,47.67,47.67,46.61,46.74,46.90,-,0.16,0.34,"43,25,575",20.27,46.80,48.00,34.01,7.32,04-Dec-2023,36.10,01-Nov-2024,4325575.0,46.9
METALIETF,Nifty Metal,9.19,9.26,9.16,9.12,9.25,-,0.13,1.43,"27,43,907",2.53,9.13,10.67,8.65,-1.7,-,-,01-Nov-2024,2743907.0,9.25
MOM100,Nifty Midcap 100,61.75,61.75,61.12,61.01,61.65,-,0.64,1.05,"3,37,075",2.07,61.02,66.45,46.11,1.28,04-Dec-2023,30.60,01-Nov-2024,337075.0,61.65
MIDCAPETF,Nifty Midcap 150,22.00,22.00,20.94,21.37,21.58,-,0.21,0.98,"16,36,669",3.52,21.38,23.20,16.10,1.32,04-Dec-2023,31.04,01-Nov-2024,1636669.0,21.58
MIDSMALL,Nifty Midsmallcap 400 Momentum Quality 100,53.46,53.47,52.62,52.68,52.93,-,0.25,0.47,"2,04,553",1.08,52.36,57.00,45.50,1.83,-,-,01-Nov-2024,204553.0,52.93
NEXT50IETF,Nifty Next 50,75.62,75.62,73.31,74.14,74.92,-,0.78,1.05,"4,40,045",3.29,74.02,81.64,48.75,1.38,-,-,01-Nov-2024,440045.0,74.92
OILIETF,Nifty Oil & Gas,11.32,11.35,11.22,11.19,11.33,-,0.14,1.25,"15,16,901",1.71,11.19,14.00,10.39,-1.91,-,-,01-Nov-2024,1516901.0,11.33
PHARMABEES,Nifty Pharma,23.25,23.25,22.86,22.93,22.94,-,0.01,0.04,"74,09,266",17.02,22.88,24.53,16.11,-1.93,04-Dec-2023,38.93,01-Nov-2024,7409266.0,22.94
PVTBANIETF,Nifty Private Bank,25.53,25.65,25.48,25.49,25.60,-,0.11,0.43,"4,42,853",1.13,25.42,27.36,22.38,0.16,-,-,01-Nov-2024,442853.0,25.6
CPSEETF,Nifty Pse,93.00,94.30,91.64,91.54,92.60,-,1.06,1.16,"12,18,823",11.25,91.46,106.60,58.98,-0.98,04-Dec-2023,52.50,01-Nov-2024,1218823.0,92.6
PSUBNKBEES,Nifty Psu Bank,75.87,77.60,75.82,75.81,77.48,-,1.67,2.20,"37,79,074",29.22,75.67,90.30,57.55,3,04-Dec-2023,30.91,01-Nov-2024,3779074.0,77.48
MOREALTY,Nifty Realty,105.35,105.93,104.50,104.89,104.98,-,0.09,0.09,"1,84,379",1.94,105.10,115.79,85.30,4.65,-,-,01-Nov-2024,184379.0,104.98
MOSMALL250,Nifty Smallcap 250,18.18,18.20,17.85,17.91,18.09,-,0.18,1.01,"4,69,303",0.85,17.86,19.30,13.00,0.39,-,-,01-Nov-2024,469303.0,18.09
SMALLCAP,Nifty Smallcap 250 Momentum Quality 100,51.93,51.94,51.16,51.43,51.79,-,0.36,0.70,"8,44,390",4.37,51.40,55.25,39.24,0.58,-,-,01-Nov-2024,844390.0,51.79
MAFANG,Nyse Fang+,114.49,119.00,113.56,113.69,116.46,-,2.77,2.44,"9,80,355",11.39,105.01,119.00,67.10,20.28,04-Dec-2023,70.70,01-Nov-2024,980355.0,116.46
MASPTOP50,S&P 500 Top 50,55.12,56.46,54.83,54.87,56.03,-,1.16,2.11,"6,29,141",3.53,47.49,56.46,33.82,24.32,04-Dec-2023,66.29,01-Nov-2024,629141.0,56.03
BSE500IETF,S&P Bse 500,38.40,38.95,38.39,38.38,38.80,-,0.42,1.09,"1,86,411",0.72,38.39,47.60,30.06,1.02,-,-,01-Nov-2024,186411.0,38.8
ICICIB22,S&P Bse Bharat 22,116.45,116.45,112.63,113.06,114.29,-,1.23,1.09,"25,75,352",29.41,112.84,124.00,82.00,-0.19,04-Dec-2023,36.25,01-Nov-2024,2575352.0,114.29
MOHEALTH,S&P Bse Healthcare,44.54,44.94,44.26,44.54,44.78,-,0.24,0.54,"7,25,295",3.23,44.58,46.50,29.90,-0.29,04-Dec-2023,45.52,01-Nov-2024,725295.0,44.78
MIDSELIETF,S&P Bse Midcap Select,17.50,18.29,17.50,18.05,18.27,-,0.22,1.22,"1,62,677",0.30,18.09,20.00,13.22,1.56,-,-,01-Nov-2024,162677.0,18.27
